Fecha,Deporte,Evento,Pick_Sugerido,Cuota,EV_Proyectado,Stake_Kelly,Resultado_Real,Estado
06.04.26,NBA,Denver Nuggets vs Portland Trail Blazers,Denver -11.5 (HA),N/A,4.25%,1.50%,DEN 137 - 132 POR,FALLO
06.04.26,NBA,Memphis Grizzlies vs Cleveland Cavaliers,Under 218.5 Puntos,N/A,5.10%,1.80%,MEM 126 - 142 CLE,FALLO
06.04.26,NBA,San Antonio Spurs vs Philadelphia 76ers,San Antonio +7.5 (HA),N/A,6.30%,1.20%,SAS 115 - 102 PHI,ACIERTO
06.04.26,NBA,Atlanta Hawks vs New York Knicks,NY Knicks (ML),N/A,3.95%,2.10%,ATL 105 - 108 NYK,ACIERTO
06.04.26,NBA,Orlando Magic vs Detroit Pistons,Orlando -8.5 (HA),N/A,7.15%,2.50%,ORL 123 - 107 DET,ACIERTO
07.04.26,Fútbol,Sporting Lisboa vs Arsenal,Sporting Lisboa (ML),4.20,19.70%,1.53%,SPO 0 - 1 ARS,FALLO
07.04.26,Fútbol,Real Madrid vs Bayern Munich,Bet Builder (1X + >1.5 Goles + Vini Tiros),1.75,13.75%,3.50%,RMA 1 - 2 BAY,FALLO
07.04.26,Fútbol,LAFC vs Cruz Azul,Cruz Azul (ML),3.75,18.12%,1.64%,LAFC 3 - 0 CAZ,FALLO
07.04.26,Fútbol,Nashville vs América,América (Empate No Acción),1.60,16.50%,0.75%,NAS 0 - 0 AME,NULO
07.04.26,Fútbol,Bayern Munich vs Real Madrid,Bet Builder (Ambos Marcan + >8.5 Córneres + Kane Tiros),3.50,12.45%,0.50%,Pendiente de datos,PENDIENTE
07.04.26,NBA,Charlotte Hornets vs Boston Celtics,Charlotte Hornets (ML),2.80,10.60%,1.05%,Pendiente de datos,PENDIENTE
07.04.26,NBA,Milwaukee Bucks vs Brooklyn Nets,Milwaukee Bucks (ML),1.75,7.62%,2.50%,Pendiente de datos,PENDIENTE
07.04.26,NBA,Houston Rockets vs Phoenix Suns,Houston Rockets (ML),1.98,7.31%,1.85%,Pendiente de datos,PENDIENTE
